INFO:Logger:Environment: CartPole-v1
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 1/200][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 2/200][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 3/200][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 4/200][TIMESTEP 43]: 43.0
INFO:Logger:[TRAIN][ep 5/200][TIMESTEP 26]: 26.0
INFO:Logger:[TRAIN][ep 6/200][TIMESTEP 11]: 11.0
INFO:Logger:[TRAIN][ep 7/200][TIMESTEP 28]: 28.0
INFO:Logger:[TRAIN][ep 8/200][TIMESTEP 20]: 20.0
INFO:Logger:[TRAIN][ep 9/200][TIMESTEP 39]: 39.0
INFO:Logger:[TRAIN][ep 10/200][TIMESTEP 22]: 22.0
INFO:Logger:[TRAIN][ep 11/200][TIMESTEP 32]: 32.0
INFO:Logger:[TRAIN][ep 12/200][TIMESTEP 30]: 30.0
INFO:Logger:[TRAIN][ep 13/200][TIMESTEP 16]: 16.0
INFO:Logger:[TRAIN][ep 14/200][TIMESTEP 17]: 17.0
INFO:Logger:[TRAIN][ep 15/200][TIMESTEP 32]: 32.0
INFO:Logger:[TRAIN][ep 16/200][TIMESTEP 106]: 106.0
INFO:Logger:[TRAIN][ep 17/200][TIMESTEP 73]: 73.0
INFO:Logger:[TRAIN][ep 18/200][TIMESTEP 315]: 315.0
INFO:Logger:[TRAIN][ep 19/200][TIMESTEP 155]: 155.0
INFO:Logger:[TRAIN][ep 20/200][TIMESTEP 305]: 305.0
INFO:Logger:[TRAIN][ep 21/200][TIMESTEP 109]: 109.0
INFO:Logger:[TRAIN][ep 22/200][TIMESTEP 144]: 144.0
INFO:Logger:[TRAIN][ep 23/200][TIMESTEP 131]: 131.0
INFO:Logger:[TRAIN][ep 24/200][TIMESTEP 88]: 88.0
INFO:Logger:[TRAIN][ep 25/200][TIMESTEP 117]: 117.0
INFO:Logger:[TRAIN][ep 26/200][TIMESTEP 131]: 131.0
INFO:Logger:[TRAIN][ep 27/200][TIMESTEP 145]: 145.0
INFO:Logger:[TRAIN][ep 28/200][TIMESTEP 152]: 152.0
INFO:Logger:[TRAIN][ep 29/200][TIMESTEP 148]: 148.0
INFO:Logger:[TRAIN][ep 30/200][TIMESTEP 199]: 199.0
INFO:Logger:[TRAIN][ep 31/200][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 32/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 33/200][TIMESTEP 145]: 145.0
INFO:Logger:[TRAIN][ep 34/200][TIMESTEP 340]: 340.0
INFO:Logger:[TRAIN][ep 35/200][TIMESTEP 213]: 213.0
INFO:Logger:[TRAIN][ep 36/200][TIMESTEP 277]: 277.0
INFO:Logger:[TRAIN][ep 37/200][TIMESTEP 237]: 237.0
INFO:Logger:[TRAIN][ep 38/200][TIMESTEP 333]: 333.0
INFO:Logger:[TRAIN][ep 39/200][TIMESTEP 196]: 196.0
INFO:Logger:[TRAIN][ep 40/200][TIMESTEP 163]: 163.0
INFO:Logger:[TRAIN][ep 41/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 42/200][TIMESTEP 189]: 189.0
INFO:Logger:[TRAIN][ep 43/200][TIMESTEP 273]: 273.0
INFO:Logger:[TRAIN][ep 44/200][TIMESTEP 149]: 149.0
