INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Prioritized Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 1/1000][TIMESTEP 18]: 18.0
INFO:Logger:[TRAIN][ep 2/1000][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 3/1000][TIMESTEP 11]: 11.0
INFO:Logger:[TRAIN][ep 4/1000][TIMESTEP 32]: 32.0
INFO:Logger:[TRAIN][ep 5/1000][TIMESTEP 34]: 34.0
INFO:Logger:[TRAIN][ep 6/1000][TIMESTEP 11]: 11.0
INFO:Logger:[TRAIN][ep 7/1000][TIMESTEP 55]: 55.0
INFO:Logger:[TRAIN][ep 8/1000][TIMESTEP 10]: 10.0
INFO:Logger:[TRAIN][ep 9/1000][TIMESTEP 13]: 13.0
INFO:Logger:[TRAIN][ep 10/1000][TIMESTEP 131]: 131.0
INFO:Logger:[TRAIN][ep 11/1000][TIMESTEP 38]: 38.0
INFO:Logger:[TRAIN][ep 12/1000][TIMESTEP 40]: 40.0
INFO:Logger:[TRAIN][ep 13/1000][TIMESTEP 119]: 119.0
INFO:Logger:[TRAIN][ep 14/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 15/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 16/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 17/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 18/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 19/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 20/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 21/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 22/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 23/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 24/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 25/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 26/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 27/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 28/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 29/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 30/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 31/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 32/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 33/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 34/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 35/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 36/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 37/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 38/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 39/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 40/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 41/1000][TIMESTEP 500]: 500.0
INFO:Logger:[TRAIN][ep 42/1000][TIMESTEP 500]: 500.0
