INFO:Logger:Environment: CartPole-v1
INFO:Logger:Agent: DQN Agent with Replay Memory
INFO:Logger:Learning rate: 0.0025
INFO:Logger:Gamma: 0.9
INFO:Logger:Epsilon: 1.0
INFO:Logger:Epsilon decay: 0.001
INFO:Logger:Minimum epsilon: 0.01
INFO:Logger:Device used: cuda
INFO:Logger:[TRAIN][ep 1/200][TIMESTEP 12]: 12.0
INFO:Logger:[TRAIN][ep 2/200][TIMESTEP 18]: 18.0
INFO:Logger:[TRAIN][ep 3/200][TIMESTEP 62]: 62.0
INFO:Logger:[TRAIN][ep 4/200][TIMESTEP 24]: 24.0
INFO:Logger:[TRAIN][ep 5/200][TIMESTEP 31]: 31.0
INFO:Logger:[TRAIN][ep 6/200][TIMESTEP 14]: 14.0
INFO:Logger:[TRAIN][ep 7/200][TIMESTEP 12]: 12.0
INFO:Logger:[TRAIN][ep 8/200][TIMESTEP 15]: 15.0
INFO:Logger:[TRAIN][ep 9/200][TIMESTEP 44]: 44.0
INFO:Logger:[TRAIN][ep 10/200][TIMESTEP 25]: 25.0
INFO:Logger:[TRAIN][ep 11/200][TIMESTEP 47]: 47.0
INFO:Logger:[TRAIN][ep 12/200][TIMESTEP 19]: 19.0
INFO:Logger:[TRAIN][ep 13/200][TIMESTEP 30]: 30.0
INFO:Logger:[TRAIN][ep 14/200][TIMESTEP 68]: 68.0
INFO:Logger:[TRAIN][ep 15/200][TIMESTEP 118]: 118.0
INFO:Logger:[TRAIN][ep 16/200][TIMESTEP 194]: 194.0
INFO:Logger:[TRAIN][ep 17/200][TIMESTEP 271]: 271.0
INFO:Logger:[TRAIN][ep 18/200][TIMESTEP 248]: 248.0
INFO:Logger:[TRAIN][ep 19/200][TIMESTEP 208]: 208.0
INFO:Logger:[TRAIN][ep 20/200][TIMESTEP 280]: 280.0
INFO:Logger:[TRAIN][ep 21/200][TIMESTEP 265]: 265.0
INFO:Logger:[TRAIN][ep 22/200][TIMESTEP 289]: 289.0
INFO:Logger:[TRAIN][ep 23/200][TIMESTEP 397]: 397.0
INFO:Logger:[TRAIN][ep 24/200][TIMESTEP 244]: 244.0
INFO:Logger:[TRAIN][ep 25/200][TIMESTEP 248]: 248.0
INFO:Logger:[TRAIN][ep 26/200][TIMESTEP 222]: 222.0
INFO:Logger:[TRAIN][ep 27/200][TIMESTEP 299]: 299.0
INFO:Logger:[TRAIN][ep 28/200][TIMESTEP 339]: 339.0
INFO:Logger:[TRAIN][ep 29/200][TIMESTEP 238]: 238.0
INFO:Logger:[TRAIN][ep 30/200][TIMESTEP 231]: 231.0
INFO:Logger:[TRAIN][ep 31/200][TIMESTEP 288]: 288.0
INFO:Logger:[TRAIN][ep 32/200][TIMESTEP 290]: 290.0
INFO:Logger:[TRAIN][ep 33/200][TIMESTEP 260]: 260.0
INFO:Logger:[TRAIN][ep 34/200][TIMESTEP 214]: 214.0
INFO:Logger:[TRAIN][ep 35/200][TIMESTEP 176]: 176.0
INFO:Logger:[TRAIN][ep 36/200][TIMESTEP 204]: 204.0
INFO:Logger:[TRAIN][ep 37/200][TIMESTEP 234]: 234.0
INFO:Logger:[TRAIN][ep 38/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 39/200][TIMESTEP 219]: 219.0
INFO:Logger:[TRAIN][ep 40/200][TIMESTEP 239]: 239.0
INFO:Logger:[TRAIN][ep 41/200][TIMESTEP 217]: 217.0
INFO:Logger:[TRAIN][ep 42/200][TIMESTEP 262]: 262.0
INFO:Logger:[TRAIN][ep 43/200][TIMESTEP 186]: 186.0
INFO:Logger:[TRAIN][ep 44/200][TIMESTEP 212]: 212.0
INFO:Logger:[TRAIN][ep 45/200][TIMESTEP 212]: 212.0
INFO:Logger:[TRAIN][ep 46/200][TIMESTEP 182]: 182.0
INFO:Logger:[TRAIN][ep 47/200][TIMESTEP 229]: 229.0
INFO:Logger:[TRAIN][ep 48/200][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 49/200][TIMESTEP 284]: 284.0
INFO:Logger:[TRAIN][ep 50/200][TIMESTEP 177]: 177.0
INFO:Logger:[TRAIN][ep 51/200][TIMESTEP 183]: 183.0
INFO:Logger:[TRAIN][ep 52/200][TIMESTEP 220]: 220.0
INFO:Logger:[TRAIN][ep 53/200][TIMESTEP 206]: 206.0
INFO:Logger:[TRAIN][ep 54/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 55/200][TIMESTEP 206]: 206.0
INFO:Logger:[TRAIN][ep 56/200][TIMESTEP 191]: 191.0
INFO:Logger:[TRAIN][ep 57/200][TIMESTEP 199]: 199.0
INFO:Logger:[TRAIN][ep 58/200][TIMESTEP 173]: 173.0
INFO:Logger:[TRAIN][ep 59/200][TIMESTEP 170]: 170.0
INFO:Logger:[TRAIN][ep 60/200][TIMESTEP 185]: 185.0
INFO:Logger:[TRAIN][ep 61/200][TIMESTEP 172]: 172.0
INFO:Logger:[TRAIN][ep 62/200][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 63/200][TIMESTEP 187]: 187.0
INFO:Logger:[TRAIN][ep 64/200][TIMESTEP 197]: 197.0
INFO:Logger:[TRAIN][ep 65/200][TIMESTEP 221]: 221.0
INFO:Logger:[TRAIN][ep 66/200][TIMESTEP 206]: 206.0
INFO:Logger:[TRAIN][ep 67/200][TIMESTEP 230]: 230.0
